date,gasoline price per liter in RON
23-09-2020,4.440
24-09-2020,4.440
25-09-2020,4.440
26-09-2020,4.438
27-09-2020,4.438
28-09-2020,4.463
29-09-2020,4.471
30-09-2020,4.471
01-10-2020,4.497
02-10-2020,4.497
03-10-2020,4.497
04-10-2020,4.512
05-10-2020,4.512
06-10-2020,4.512
07-10-2020,4.525
08-10-2020,4.540
09-10-2020,4.540
10-10-2020,4.540
11-10-2020,4.540
12-10-2020,4.540
13-10-2020,4.568
14-10-2020,4.568
15-10-2020,4.568
16-10-2020,4.522
17-10-2020,4.522
18-10-2020,4.525
19-10-2020,4.545
20-10-2020,4.545
21-10-2020,4.584
22-10-2020,4.584
23-10-2020,4.584
24-10-2020,4.561
25-10-2020,4.571
26-10-2020,4.566
27-10-2020,4.530
28-10-2020,4.522
29-10-2020,4.522
30-10-2020,4.522
31-10-2020,4.469
01-11-2020,4.469
02-11-2020,4.458
03-11-2020,4.458
04-11-2020,4.458
05-11-2020,4.458
06-11-2020,4.458
07-11-2020,4.428
08-11-2020,4.438
09-11-2020,4.438
10-11-2020,4.458
11-11-2020,4.458
12-11-2020,4.481
13-11-2020,4.476
14-11-2020,4.476
15-11-2020,4.476
16-11-2020,4.476
17-11-2020,4.497
18-11-2020,4.499
19-11-2020,4.512
20-11-2020,4.507
21-11-2020,4.507
22-11-2020,4.507
23-11-2020,4.574
24-11-2020,4.566
25-11-2020,4.617
26-11-2020,4.653
27-11-2020,4.622
28-11-2020,4.592
29-11-2020,4.643
30-11-2020,4.612
01-12-2020,4.612
02-12-2020,4.612
03-12-2020,4.643
04-12-2020,4.581
05-12-2020,4.581
06-12-2020,4.643
07-12-2020,4.643
08-12-2020,4.668
09-12-2020,4.668
10-12-2020,4.638
11-12-2020,4.632
12-12-2020,4.632
13-12-2020,4.632
14-12-2020,4.679
15-12-2020,4.697
16-12-2020,4.697
18-12-2020,4.720
19-12-2020,4.704
20-12-2020,4.750
21-12-2020,4.720
22-12-2020,4.766
23-12-2020,4.766
24-12-2020,4.766
25-12-2020,4.720
26-12-2020,4.720
27-12-2020,4.766
28-12-2020,4.766
29-12-2020,4.766
30-12-2020,4.766
31-12-2020,4.766
01-01-2021,4.766
02-01-2021,4.766
03-01-2021,4.766
04-01-2021,4.807
05-01-2021,4.807
06-01-2021,4.814
07-01-2021,4.814
08-01-2021,4.807
09-01-2021,4.807
10-01-2021,4.843
11-01-2021,4.843
12-01-2021,4.894
13-01-2021,4.894
14-01-2021,4.917
15-01-2021,4.909
16-01-2021,4.909
17-01-2021,4.940
18-01-2021,4.940
19-01-2021,4.955
20-01-2021,5.002
21-01-2021,5.002
22-01-2021,5.035
23-01-2021,5.035
24-01-2021,5.035
25-01-2021,5.019
26-01-2021,5.019
27-01-2021,5.019
28-01-2021,5.019
29-01-2021,5.019
30-01-2021,5.019
31-01-2021,5.019
01-02-2021,5.019
02-02-2021,5.019
03-02-2021,5.053
04-02-2021,5.053
05-02-2021,5.084
06-02-2021,5.084
07-02-2021,5.084
08-02-2021,5.084
09-02-2021,5.084
10-02-2021,5.112
11-02-2021,5.112
12-02-2021,5.135
13-02-2021,5.135
14-02-2021,5.135
15-02-2021,5.135
16-02-2021,5.168
17-02-2021,5.168
18-02-2021,5.196
19-02-2021,5.224
20-02-2021,5.224
21-02-2021,5.224
22-02-2021,5.224
23-02-2021,5.296
24-02-2021,5.296
25-02-2021,5.296
26-02-2021,5.296
27-02-2021,5.327
28-02-2021,5.342
01-03-2021,5.342
02-03-2021,5.342
03-03-2021,5.342
04-03-2021,5.342
05-03-2021,5.342
07-03-2021,5.342
08-03-2021,5.350
09-03-2021,5.399
10-03-2021,5.399
11-03-2021,5.424
12-03-2021,5.424
13-03-2021,5.440
14-03-2021,5.440
15-03-2021,5.455
16-03-2021,5.532
17-03-2021,5.532
18-03-2021,5.532
19-03-2021,5.532
20-03-2021,5.524
21-03-2021,5.524
22-03-2021,5.524
23-03-2021,5.514
24-03-2021,5.483
25-03-2021,5.470
26-03-2021,5.442
27-03-2021,5.447
28-03-2021,5.447
29-03-2021,5.447
30-03-2021,5.442
31-03-2021,5.445
01-04-2021,5.468
02-04-2021,5.468
03-04-2021,5.468
04-04-2021,5.468
05-04-2021,5.468
06-04-2021,5.468
10-04-2021,5.488
11-04-2021,5.463
12-04-2021,5.504
13-04-2021,5.504
14-04-2021,5.540
15-04-2021,5.540
