car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.45 Lakh,"22,402 km",Petrol,Mumbai,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.93 Lakh,"10,344 km",Petrol,Kolkata,2019
Tata Safari XZ Plus New,₹ 22.49 Lakh,"12,999 km",Diesel,Bangalore,2021
Maruti Suzuki Ciaz ZXI+,₹ 6.95 Lakh,"45,000 km",Petrol,Thane,2016
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],₹ 12 Lakh,"11,193 km",Petrol,Kolkata,2019
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],₹ 3.72 Lakh,"42,906 km",Petrol,Chennai,2017
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.5 Lakh,"66,602 km",Diesel,Mumbai,2017
Maruti Suzuki Ertiga VXi AT,₹ 10.39 Lakh,"13,189 km",Petrol,Bangalore,2019
Toyota Etios Liva G,₹ 3.75 Lakh,"67,815 km",Petrol,Mumbai,2013
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.25 Lakh,"19,509 km",Petrol,Mumbai,2018
Maruti Suzuki Ciaz VDi+ SHVS,₹ 6.75 Lakh,"60,000 km",Diesel,Ahmedabad,2017
Maruti Suzuki Alto 800 LXi (O),₹ 4.49 Lakh,"3,583 km",Petrol,Bangalore,2019
Chevrolet Optra Magnum LS 2.0 TCDi,₹ 3 Lakh,"1,48,000 km",Diesel + 1,Pallikarnai,2007
Maruti Suzuki Vitara Brezza VDi,₹ 9.5 Lakh,"48,748 km",Diesel,Hyderabad,2019
Jeep Compass Longitude 2.0 Diesel [2017-2020],₹ 13.25 Lakh,"38,000 km",Diesel,Thane,2018
Toyota Corolla Altis VL AT Petrol,₹ 9.25 Lakh,"36,000 km",Petrol,Kolkata,2016
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"13,747 km",Petrol,Ahmedabad,2017
Mercedes-Benz EQC 400 4MATIC,₹ 95 Lakh,"3,200 km",Electric,Pune,2022
