,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Anyone,Anyone,Justin Bieber,2021-01-01,190779,92,0.686,0.181,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,4
1,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,93,0.889,0.218,0.34,0.13,0.055,-7.773,0.0697,94.009,4
2,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,86,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
3,34+35,Positions,Ariana Grande,2020-10-30,173710,93,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4
4,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-11-01,241106,89,0.336,0.164,0.627,0.0,0.0708,-7.463,0.0384,150.273,4
5,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,84,0.682,0.156,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4
6,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,83,0.629,0.00981,0.692,0.331,0.603,-8.045,0.0376,162.948,4
7,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,91,0.823,0.114,0.586,0.0,0.193,-6.606,0.2,125.971,4
8,Afterglow,Afterglow,Ed Sheeran,2020-12-21,185486,90,0.641,0.698,0.324,0.0,0.328,-5.851,0.0299,110.184,4
9,positions,Positions,Ariana Grande,2020-10-30,172324,95,0.737,0.468,0.802,0.0,0.0931,-4.771,0.0878,144.015,4
10,Adore You,Fine Line,Harry Styles,2019-12-13,207133,86,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
11,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,232533,81,0.487,0.191,0.65,0.0,0.0933,-5.195,0.0253,151.964,4
12,Ay Vamos,Regeton Antiguo,Various Artists,2021-01-22,226413,1,0.718,0.157,0.711,5.52e-05,0.1,-5.746,0.11,173.916,4
13,Rockin' Around The Christmas Tree,Merry Christmas From Brenda Lee,Brenda Lee,1964-10-19,126266,86,0.589,0.614,0.472,0.0,0.505,-8.749,0.0502,67.196,4
14,Amarillo,Verano Vibrante,Various Artists,2021-01-22,158146,0,0.876,0.0118,0.85,0.0067,0.111,-5.75,0.163,122.666,5
